roi,quantile,R0,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Afghanistan,0.025,1.451401040373598,0.01697642340687545,0.013668065512010136,,,0.013093088447629646,0.013113574299705682,0.01327026102107594,,,,,,,1.2246240891879212,0.0012769480217347856,0.0016551318993875527,,,0.0017431171881320483,0.0017995770420061877,0.001893226025533611,,,,,,,406.5253238768607,0.006668184495241398,406.5115974887474
Afghanistan,0.25,2.568219368725136,0.042990489279086816,0.04474907882039887,,,0.046482178008302906,0.047976655601965984,0.04942506840080542,,,,,,,1.428503697035406,0.0034852108486454854,0.005584096042708918,,,0.006639302089089437,0.00735154873448675,0.007942075054703327,,,,,,,456.545512841498,0.06350301765528771,456.5259320944237
Afghanistan,0.5,3.851172682237448,0.07481274249701031,0.08391113512825069,,,0.08947187701347994,0.09364649741206252,0.09747961011302286,,,,,,,1.5444025339758762,0.006360141943964022,0.010940953721760946,,,0.013634422358007145,0.015430457279784718,0.016871244151860615,,,,,,,482.79116122412535,0.14938854425588025,482.7685086884398
Afghanistan,0.75,6.309619576116701,0.14599947055943588,0.16879351245528523,,,0.18018609341732117,0.19006303701376318,0.19796825532789306,,,,,,,1.6672553983311211,0.012881431798706858,0.02273598007157299,,,0.028761497689901546,0.03311455871110716,0.03639599772575789,,,,,,,509.0368096067527,0.2975184875134627,509.0110852824559
Afghanistan,0.975,16.603067918491025,1.1562190774139691,1.0121284373226966,,,0.9646309943424779,0.9444143310327694,0.9359798945829026,,,,,,,1.9311422712239552,0.08440800573673864,0.13159592287734795,,,0.15046984705831937,0.1605676178177408,0.16617384249992737,,,,,,,559.05699857139,0.7734994919691649,559.0254198881322
Afghanistan,max,61.23008164891136,2.1571179429505802,1.2050856523565787,,,1.0750505380323774,1.031313150548921,1.0151305452684347,,,,,,,2.482215960385746,0.2743784355844347,0.4046264218360119,,,0.4471382269237596,0.4638677758041822,0.4725994243813735,,,,,,,,1.8796280608483291,
Afghanistan,mean,5.177356918236252,0.1630389569237616,0.16377979336248244,,,0.1668148841297461,0.17035241740141907,0.17444076691931742,,,,,,,1.5528440337435583,0.013657524836371997,0.02241759382335691,,,0.026992038409406276,0.029882879484248264,0.03209558321567128,,,,,,,482.79116122412535,0.21352925879370335,482.7685086884398
Afghanistan,min,1.0297695393761548,0.0026105082390235714,0.00040428874462057927,,,0.00036179470833207564,0.0003883536353951718,0.00040730216344991464,,,,,,,0.9600581999513976,0.00015634338968208755,3.68622741577987e-05,,,3.0788689983212964e-05,3.4232085451151594e-05,3.778756427755005e-05,,,,,,,,7.574818118667044e-05,
Afghanistan,std,4.209193578878619,0.26265855929790893,0.2251238560977195,,,0.21596772864319005,0.21290376664047267,0.21243644062575023,,,,,,,0.17963377240816067,0.022311682625673027,0.03344276956239404,,,0.0381515426963946,0.04066929174686166,0.04234272540976541,,,,,,,38.91185651820127,0.20843317067386716,38.907302277591434
Albania,0.025,1.8179172677692497,0.04296799151096588,0.06246453330057326,,,0.07860652778669353,0.09470045603970244,0.10594159910656682,,,,,,,0.435108179606661,0.0012686273454789571,0.0029440446086101938,,,0.004797875983045254,0.006949748316576439,0.009258143824260327,,,,,,,499.07004368055317,0.006253225680150493,498.9326532170844
Albania,0.25,3.2864288919484625,0.10190595481703968,0.16120391554457714,,,0.20493007882004893,0.24611827667356373,0.28459613564333364,,,,,,,0.5442562327078594,0.0031796929008815096,0.008161133332912424,,,0.013100244587626146,0.01892422024556895,0.02566884404483897,,,,,,,530.814319360596,0.06418587190338193,530.6341393763627
Albania,0.5,4.923240387926095,0.15946398257956326,0.24849784969479838,,,0.3184749434197417,0.384849864976237,0.44205219635320125,,,,,,,0.6059836438781722,0.005076437097419961,0.012981754918294213,,,0.020845227859888203,0.02990972349457098,0.04001843956657734,,,,,,,547.4705758623177,0.14595995679694257,547.2679441692906
Albania,0.75,9.132124173206744,0.2560662107926248,0.37502708765457027,,,0.4568421811258841,0.5420129536002862,0.6121116542242316,,,,,,,0.6750190292763668,0.008347264026613179,0.020373932673531485,,,0.030884469654434386,0.04310880534543512,0.056989657890467824,,,,,,,564.1268323640394,0.27276591445614573,563.9017489622184
Albania,0.975,19.743539476051172,0.6645065475214054,0.7404071960211734,,,0.7748545334739363,0.8312512736857334,0.8768851162454835,,,,,,,0.8228314510622307,0.021703491094399768,0.042971747520784614,,,0.056489406463566635,0.07153504436831222,0.09023917780859168,,,,,,,595.8711080440821,0.6855100808524922,595.6032351214967
Albania,max,41.1160274246053,1.4154652197141389,1.0414969870941324,,,1.0097836282819879,1.0010744488238168,1.0024721784636772,,,,,,,1.060213034919786,0.06594119831108422,0.11785882403455883,,,0.13649195536853942,0.1479693480537139,0.1738486108254466,,,,,,,,2.621977053431284,
