dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
1/22/20,548,17,28,0,0,0,0
1/23/20,643,18,30,95,1,2,3
1/24/20,920,26,36,277,8,6,14
1/25/20,1406,42,39,486,16,3,19
1/26/20,2075,56,49,669,14,10,24
1/27/20,2877,82,58,802,26,9,35
1/28/20,5509,131,101,2632,49,43,92
1/29/20,6087,133,120,578,2,19,21
1/30/20,8141,171,135,2054,38,15,53
1/31/20,9802,213,214,1661,42,79,121
2/1/20,11891,259,275,2089,46,61,107
2/2/20,16630,361,463,4739,102,188,290
2/3/20,19716,425,614,3086,64,151,215
2/4/20,23707,491,843,3991,66,229,295
2/5/20,27440,563,1115,3733,72,272,344
2/6/20,30587,633,1477,3147,70,362,432
2/7/20,34110,718,1999,3523,85,522,607
2/8/20,36814,805,2596,2704,87,597,684
2/9/20,39829,905,3219,3015,100,623,723
2/10/20,42354,1012,3918,2525,107,699,806
2/11/20,44386,1112,4636,2032,100,718,818
2/12/20,44759,1117,5082,373,5,446,451
2/13/20,59895,1369,6217,15136,252,1135,1387
2/14/20,66358,1521,7977,6463,152,1760,1912
2/15/20,68413,1663,9298,2055,142,1321,1463
2/16/20,70513,1766,10755,2100,103,1457,1560
2/17/20,72434,1864,12462,1921,98,1707,1805
2/18/20,74211,2003,14206,1777,139,1744,1883
2/19/20,74619,2116,15962,408,113,1756,1869
2/20/20,75077,2238,18014,458,122,2052,2174
2/21/20,75550,2238,18704,473,0,690,690
2/22/20,77001,2443,22699,1451,205,3995,4200
2/23/20,77022,2445,23187,21,2,488,490
2/24/20,77241,2595,25015,219,150,1828,1978
2/25/20,77754,2665,27676,513,70,2661,2731
2/26/20,78166,2717,30084,412,52,2408,2460
2/27/20,78600,2746,32930,434,29,2846,2875
2/28/20,78928,2790,36329,328,44,3399,3443
2/29/20,79356,2837,39320,428,47,2991,3038
3/1/20,79932,2872,42162,576,35,2842,2877
3/2/20,80136,2914,44854,204,42,2692,2734
3/3/20,80261,2947,47450,125,33,2596,2629
3/4/20,80386,2983,50001,125,36,2551,2587
3/5/20,80537,3015,52292,151,32,2291,2323
3/6/20,80690,3044,53944,153,29,1652,1681
3/7/20,80770,3072,55539,80,28,1595,1623
3/8/20,80823,3100,57388,53,28,1849,1877
3/9/20,80860,3123,58804,37,23,1416,1439
3/10/20,80887,3139,60181,27,16,1377,1393
3/11/20,80921,3161,61644,34,22,1463,1485
3/12/20,80932,3172,62901,11,11,1257,1268
3/13/20,80945,3180,64196,13,8,1295,1303
3/14/20,80977,3193,65660,32,13,1464,1477
3/15/20,81003,3203,67017,26,10,1357,1367
3/16/20,81033,3217,67910,30,14,893,907
3/17/20,81058,3230,68798,25,13,888,901
3/18/20,81102,3241,69755,44,11,957,968
3/19/20,81156,3249,70535,54,8,780,788
3/20/20,81250,3253,71266,94,4,731,735
3/21/20,81305,3259,71857,55,6,591,597
3/22/20,81435,3274,72362,130,15,505,520
3/23/20,81498,3274,72814,63,0,452,452
3/24/20,81591,3281,73280,93,7,466,473
3/25/20,81661,3285,73773,70,4,493,497
3/26/20,81782,3291,74181,121,6,408,414
3/27/20,81897,3296,74720,115,5,539,544
3/28/20,81999,3299,75100,102,3,380,383
3/29/20,82122,3304,75582,123,5,482,487
3/30/20,82198,3308,75923,76,4,341,345
3/31/20,82279,3309,76206,81,1,283,284
4/1/20,82361,3316,76405,82,7,199,206
4/2/20,82432,3322,76565,71,6,160,166
4/3/20,82511,3326,76760,79,4,195,199
4/4/20,82543,3330,76946,32,4,186,190
4/5/20,82602,3333,77207,59,3,261,264
4/6/20,82665,3335,77310,63,2,103,105
4/7/20,82718,3335,77410,53,0,100,100
