,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,0,0,0,0,0,0,0
1,03/08/20,0,0,0,0,0,0,0
2,03/09/20,0,0,0,0,0,0,0
3,03/10/20,0,0,0,0,0,0,0
4,03/11/20,0,0,0,0,0,0,0
5,03/12/20,1,0,0,1,0,0,0
6,03/13/20,1,0,0,0,0,0,0
7,03/14/20,1,0,0,0,0,0,0
8,03/15/20,1,0,0,0,0,0,0
9,03/16/20,1,0,0,0,0,0,0
10,03/17/20,3,0,0,2,0,0,0
11,03/18/20,6,0,0,3,0,0,0
12,03/19/20,15,0,0,9,0,0,0
13,03/20/20,20,0,0,5,0,0,0
14,03/21/20,28,0,0,8,0,0,0
15,03/22/20,28,0,0,0,0,0,0
16,03/23/20,30,0,0,2,0,0,0
17,03/24/20,34,0,0,4,0,0,0
18,03/25/20,39,0,0,5,0,0,0
19,03/26/20,52,0,0,13,0,0,0
20,03/27/20,65,0,15,13,0,15,15
21,03/28/20,83,1,16,18,1,1,2
22,03/29/20,98,1,18,15,0,2,2
23,03/30/20,109,2,19,11,1,1,2
24,03/31/20,126,3,30,17,1,11,12
25,04/01/20,142,3,34,16,0,4,4
26,04/02/20,159,3,43,17,0,9,9
27,04/03/20,173,3,55,14,0,12,12
28,04/04/20,186,3,63,13,0,8,8
29,04/05/20,207,3,63,21,0,0,0
30,04/06/20,225,3,74,18,0,11,11
31,04/07/20,237,4,82,12,1,8,9
32,04/08/20,251,4,98,14,0,16,16
33,04/09/20,269,5,101,18,1,3,4
34,04/10/20,278,6,105,9,1,4,5
