,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,1,0,0.0,0,0,0,0
1,03/08/20,1,0,0.0,0,0,0,0
2,03/09/20,1,0,0.0,0,0,0,0
3,03/10/20,2,0,0.0,1,0,0,0
4,03/11/20,2,0,0.0,0,0,0,0
5,03/12/20,3,0,0.0,1,0,0,0
6,03/13/20,3,0,0.0,0,0,0,0
7,03/14/20,4,0,0.0,1,0,0,0
8,03/15/20,9,0,0.0,5,0,0,0
9,03/16/20,10,0,0.0,1,0,0,0
10,03/17/20,17,0,0.0,7,0,0,0
11,03/18/20,29,0,0.0,12,0,0,0
12,03/19/20,44,1,0.0,15,1,0,1
13,03/20/20,49,1,0.0,5,0,0,0
14,03/21/20,53,1,0.0,4,0,0,0
15,03/22/20,67,2,0.0,14,1,0,1
16,03/23/20,81,2,0.0,14,0,0,0
17,03/24/20,106,3,0.0,25,1,0,1
18,03/25/20,164,5,0.0,58,2,0,2
19,03/26/20,248,7,0.0,84,2,0,2
20,03/27/20,322,8,0.0,74,1,0,1
21,03/28/20,377,15,0.0,55,7,0,7
22,03/29/20,429,16,0.0,52,1,0,1
23,03/30/20,481,17,0.0,52,1,0,1
24,03/31/20,565,23,0.0,84,6,0,6
25,04/01/20,719,30,0.0,154,7,0,7
26,04/02/20,879,34,0.0,160,4,0,4
27,04/03/20,988,38,383.0,109,4,383,387
28,04/04/20,1159,42,,171,4,0,-379
29,04/05/20,1252,46,,93,4,0,4
30,04/06/20,1327,51,522.0,75,5,0,527
31,04/07/20,1472,67,612.0,145,16,90,106
32,04/08/20,1524,79,686.0,52,12,74,86
33,04/09/20,1684,80,686.0,160,1,0,1
34,04/10/20,1794,88,790.0,110,8,104,112
35,04/11/20,1868,94,865.0,74,6,75,81
36,04/12/20,1970,96,865.0,102,2,0,2
37,04/13/20,2069,99,865.0,99,3,0,3
38,04/14/20,2184,108,1060.0,115,9,195,204
39,04/15/20,2263,123,1115.0,79,15,55,70
