dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/06/20,0,0,0,0,0,0,0
03/07/20,1,0,0,1,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,2,0,0,1,0,0,0
03/10/20,3,0,0,1,0,0,0
03/11/20,5,0,0,2,0,0,0
03/12/20,9,0,0,4,0,0,0
03/13/20,14,0,0,5,0,0,0
03/14/20,21,0,0,7,0,0,0
03/15/20,35,0,0,14,0,0,0
03/16/20,54,0,0,19,0,0,0
03/17/20,60,0,0,6,0,0,0
03/18/20,77,0,0,17,0,0,0
03/19/20,89,0,0,12,0,0,0
03/20/20,115,0,0,26,0,0,0
03/21/20,138,1,0,23,1,0,1
03/22/20,169,1,0,31,0,0,0
03/23/20,235,1,0,66,0,0,0
03/24/20,262,1,0,27,0,0,0
03/25/20,287,1,122,25,0,122,122
03/26/20,346,2,0,59,1,-122,-121
03/27/20,398,4,180,52,2,180,182
03/28/20,441,5,220,43,1,40,41
03/29/20,503,9,252,62,4,32,36
03/30/20,576,10,0,73,1,-252,-251
03/31/20,629,12,0,53,2,0,2
04/01/20,689,17,0,60,5,0,5
04/02/20,742,18,0,53,1,0,1
04/03/20,789,22,0,47,4,0,4
04/04/20,865,24,440,76,2,440,442
04/05/20,935,29,451,70,5,11,16
04/06/20,986,30,470,51,1,19,20
04/07/20,1069,34,549,83,4,79,83
04/08/20,1154,39,632,85,5,83,88
04/09/20,1242,50,675,88,11,43,54
