dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,1,0,0,1,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,5,0,0,4,0,0,0
03/11/20,5,0,0,0,0,0,0
03/12/20,10,0,0,5,0,0,0
03/13/20,10,0,0,0,0,0,0
03/14/20,10,0,0,0,0,0,0
03/15/20,16,0,0,6,0,0,0
03/16/20,17,0,0,1,0,0,0
03/17/20,22,0,0,5,0,0,0
03/18/20,31,0,0,9,0,0,0
03/19/20,39,0,0,8,0,0,0
03/20/20,71,1,0,32,1,0,1
03/21/20,77,1,0,6,0,0,0
03/22/20,98,1,0,21,0,0,0
03/23/20,116,2,0,18,1,0,1
03/24/20,137,2,0,21,0,0,0
03/25/20,183,2,0,46,0,0,0
03/26/20,231,3,21,48,1,21,22
03/27/20,267,3,49,36,0,28,28
03/28/20,304,4,51,37,1,2,3
03/29/20,342,5,66,38,1,15,16
03/30/20,401,9,106,59,4,40,44
03/31/20,495,9,121,94,0,15,15
04/01/20,586,11,142,91,2,21,23
04/02/20,653,12,173,67,1,31,32
04/03/20,757,15,206,104,3,33,36
04/04/20,902,21,235,145,6,29,35
04/05/20,998,22,258,96,1,23,24
04/06/20,1097,24,287,99,2,29,31
04/07/20,1211,22,318,114,-2,31,29
04/08/20,1440,27,361,229,5,43,48
04/09/20,1523,32,393,83,5,32,37
