,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0.0,0,0,0,0,0,0
1,01/23/20,0.0,0,0,0,0,0,0
2,01/24/20,0.0,0,0,0,0,0,0
3,01/25/20,0.0,0,0,0,0,0,0
4,01/26/20,0.0,0,0,0,0,0,0
5,01/27/20,0.0,0,0,0,0,0,0
6,01/28/20,0.0,0,0,0,0,0,0
7,01/29/20,0.0,0,0,0,0,0,0
8,01/30/20,0.0,0,0,0,0,0,0
9,01/31/20,0.0,0,0,0,0,0,0
10,02/01/20,1.0,0,0,1,0,0,0
11,02/02/20,1.0,0,0,0,0,0,0
12,02/03/20,1.0,0,0,0,0,0,0
13,02/04/20,1.0,0,0,0,0,0,0
14,02/05/20,1.0,0,0,0,0,0,0
15,02/06/20,1.0,0,0,0,0,0,0
16,02/07/20,1.0,0,0,0,0,0,0
17,02/08/20,1.0,0,0,0,0,0,0
18,02/09/20,2.0,0,0,1,0,0,0
19,02/10/20,2.0,0,0,0,0,0,0
20,02/11/20,2.0,0,0,0,0,0,0
21,02/12/20,2.0,0,0,0,0,0,0
22,02/13/20,2.0,0,0,0,0,0,0
23,02/14/20,2.0,0,0,0,0,0,0
24,02/15/20,2.0,0,2,0,0,2,2
25,02/16/20,2.0,0,2,0,0,0,0
26,02/17/20,2.0,0,2,0,0,0,0
27,02/18/20,2.0,0,2,0,0,0,0
28,02/19/20,2.0,0,2,0,0,0,0
29,02/20/20,2.0,0,2,0,0,0,0
30,02/21/20,2.0,0,2,0,0,0,0
31,02/22/20,2.0,0,2,0,0,0,0
32,02/23/20,2.0,0,2,0,0,0,0
33,02/24/20,2.0,0,2,0,0,0,0
34,02/25/20,6.0,0,2,4,0,0,0
35,02/26/20,13.0,0,2,7,0,0,0
36,02/27/20,15.0,0,2,2,0,0,0
37,02/28/20,32.0,0,2,17,0,0,0
38,02/29/20,45.0,0,2,13,0,0,0
39,03/01/20,84.0,0,2,39,0,0,0
40,03/02/20,120.0,0,2,36,0,0,0
41,03/03/20,165.0,1,2,45,1,0,1
42,03/04/20,222.0,2,2,57,1,0,1
43,03/05/20,259.0,3,2,37,1,0,1
44,03/06/20,400.0,5,2,141,2,0,2
45,03/07/20,500.0,10,30,100,5,28,33
46,03/08/20,673.0,17,30,173,7,0,7
47,03/09/20,1073.0,28,32,400,11,2,13
48,03/10/20,1695.0,35,32,622,7,0,7
49,03/11/20,2277.0,54,183,582,19,151,170
50,03/12/20,2277.0,55,183,0,1,0,1
51,03/13/20,5232.0,133,193,2955,78,10,88
52,03/14/20,6391.0,195,517,1159,62,324,386
53,03/15/20,7798.0,289,517,1407,94,0,94
54,03/16/20,9942.0,342,530,2144,53,13,66
55,03/17/20,11748.0,533,1028,1806,191,498,689
56,03/18/20,13910.0,623,1081,2162,90,53,143
57,03/19/20,17963.0,830,1107,4053,207,26,233
58,03/20/20,20410.0,1043,1588,2447,213,481,694
59,03/21/20,25374.0,1375,2125,4964,332,537,869
60,03/22/20,28768.0,1772,2575,3394,397,450,847
61,03/23/20,35136.0,2311,2575,6368,539,0,539
62,03/24/20,39885.0,2808,3794,4749,497,1219,1716
63,03/25/20,49515.0,3647,5367,9630,839,1573,2412
64,03/26/20,57786.0,4365,7015,8271,718,1648,2366
65,03/27/20,65719.0,5138,9357,7933,773,2342,3115
66,03/28/20,73235.0,5982,12285,7516,844,2928,3772
67,03/29/20,80110.0,6803,14709,6875,821,2424,3245
68,03/30/20,87956.0,7716,16780,7846,913,2071,2984
69,03/31/20,95923.0,8464,19259,7967,748,2479,3227
70,04/01/20,104118.0,9387,22647,8195,923,3388,4311
71,04/02/20,112065.0,10348,26743,7947,961,4096,5057
72,04/03/20,119199.0,11198,30513,7134,850,3770,4620
73,04/04/20,126168.0,11947,34219,6969,749,3706,4455
74,04/05/20,131646.0,12641,38080,5478,694,3861,4555
75,04/06/20,136675.0,13341,40437,5029,700,2357,3057
76,04/07/20,141942.0,14045,43208,5267,704,2771,3475
77,04/08/20,148220.0,14792,48021,6278,747,4813,5560
78,04/09/20,153222.0,15447,52165,5002,655,4144,4799
79,04/10/20,158273.0,16081,55668,5051,634,3503,4137
80,04/11/20,163027.0,16606,59109,4754,525,3441,3966
81,04/12/20,166831.0,17209,62391,3804,603,3282,3885
82,04/13/20,170099.0,17756,64727,3268,547,2336,2883
83,04/14/20,172541.0,18056,67504,2442,300,2777,3077
84,04/15/20,177644.0,18708,70853,5103,652,3349,4001
85,04/16/20,184948.0,19315,74797,7304,607,3944,4551
86,04/17/20,190839.0,20002,74797,5891,687,0,687
87,04/18/20,191726.0,20043,74797,887,41,0,41
88,04/19/20,198674.0,20453,77357,6948,410,2560,2970
89,04/20/20,200210.0,20852,80587,1536,399,3230,3629
90,04/21/20,204178.0,21282,82514,3968,430,1927,2357
91,04/22/20,208389.0,21717,85915,4211,435,3401,3836
92,04/23/20,213024.0,22157,89250,4635,440,3335,3775
93,04/24/20,,22524,92355,0,367,3105,3472
94,04/25/20,213024.0,22902,95708,0,378,3353,3731
95,04/26/20,213024.0,23190,98372,0,288,2664,2952
96,04/27/20,213024.0,23521,100875,0,331,2503,2834
97,04/28/20,213024.0,23822,102548,0,301,1673,1974
